CUENTA : 8328	 RFC INCORRECTO 
CUENTA : 544	 EL ESTADO ES REQUERIDO 
CUENTA : 599	 NO TIENE UN RFC VALIDO 
CUENTA : 614	 EL ESTADO ES REQUERIDO 
CUENTA : 641	 TIENE EL RFC :A&B051118E11 NO VALIDO!
CUENTA : 649	 EL ESTADO ES REQUERIDO 
CUENTA : 651	 EL ESTADO ES REQUERIDO 
CUENTA : 654	 EL ESTADO ES REQUERIDO 
CUENTA : 655	 NO TIENE UN RFC VALIDO 
CUENTA : 694	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 716	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 737	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 777	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 790	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 793	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 794	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 795	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 842	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 843	 EL ESTADO ES REQUERIDO 
CUENTA : 857	 EL ESTADO ES REQUERIDO 
CUENTA : 858	 EL ESTADO ES REQUERIDO 
CUENTA : 899	 EL ESTADO ES REQUERIDO 
CUENTA : 905	 EL ESTADO ES REQUERIDO 
CUENTA : 906	 EL ESTADO ES REQUERIDO 
CUENTA : 934	 NO TIENE UN RFC VALIDO 
CUENTA : 978	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 998	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1016	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1023	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1043	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 1044	 EL ESTADO ES REQUERIDO 
CUENTA : 1068	 NO TIENE UN RFC VALIDO 
CUENTA : 1098	 EL ESTADO ES REQUERIDO 
CUENTA : 1120	 EL ESTADO ES REQUERIDO 
CUENTA : 1127	 EL ESTADO ES REQUERIDO 
CUENTA : 1153	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1208	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1209	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1252	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1336	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1352	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1361	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 1404	 EL ESTADO ES REQUERIDO 
CUENTA : 1446	 EL ESTADO ES REQUERIDO 
CUENTA : 1447	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1452	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1479	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1484	 EL ESTADO ES REQUERIDO 
CUENTA : 1520	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1570	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1588	 TIENE EL RFC :LAMN41091100 NO VALIDO!
CUENTA : 1628	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1657	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1658	 EL ESTADO ES REQUERIDO 
CUENTA : 1692	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1695	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1709	 LA COLONIA ES REQUERIDA 
CUENTA : 1738	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1759	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1788	 EL ESTADO ES REQUERIDO 
CUENTA : 1820	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1822	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1833	 EL ESTADO ES REQUERIDO 
CUENTA : 1838	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1853	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1882	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 1910	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 1922	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1945	 TIENE EL RFC :META210713KR NO VALIDO!
CUENTA : 1948	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1954	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 1971	 EL ESTADO ES REQUERIDO 
CUENTA : 1986	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 2013	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2022	 TIENE EL RFC :ADAO90126IE7 NO VALIDO!
CUENTA : 2087	 NO TIENE UN RFC VALIDO 
CUENTA : 2106	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2147	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2184	 EL ESTADO ES REQUERIDO 
CUENTA : 2221	 EL ESTADO ES REQUERIDO 
CUENTA : 2239	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2262	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2280	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 2285	 EL ESTADO ES REQUERIDO 
CUENTA : 2324	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2327	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2331	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 2336	 EL ESTADO ES REQUERIDO 
CUENTA : 2338	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2340	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2391	 TIENE EL RFC :HEJR7008137N5 NO VALIDO!
CUENTA : 2407	 EL ESTADO ES REQUERIDO 
CUENTA : 2425	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 2430	 EL ESTADO ES REQUERIDO 
CUENTA : 2439	 EL ESTADO ES REQUERIDO 
CUENTA : 2468	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2516	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 2552	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2558	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 2559	 LA COLONIA ES REQUERIDA 
CUENTA : 2565	 EL ESTADO ES REQUERIDO 
CUENTA : 2590	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2630	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2680	 EL ESTADO ES REQUERIDO 
CUENTA : 2714	 EL ESTADO ES REQUERIDO 
CUENTA : 2744	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2747	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2774	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2832	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 2894	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 2895	 TIENE EL RFC :RUMG69092440 NO VALIDO!
CUENTA : 2926	 EL ESTADO ES REQUERIDO 
CUENTA : 2940	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2968	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2976	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2983	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 2990	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 2998	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3001	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 3081	 LA CIUDAD ES REQUERIDA 
CUENTA : 3082	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3096	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3121	 TIENE EL RFC :AELE300109H7 NO VALIDO!
CUENTA : 3136	 EL ESTADO ES REQUERIDO 
CUENTA : 3137	 EL ESTADO ES REQUERIDO 
CUENTA : 3147	 EL ESTADO ES REQUERIDO 
CUENTA : 3174	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3177	 EL ESTADO ES REQUERIDO 
CUENTA : 3208	 EL ESTADO ES REQUERIDO 
CUENTA : 3223	 EL ESTADO ES REQUERIDO 
CUENTA : 3224	 NO TIENE UN RFC VALIDO 
CUENTA : 3229	 NO TIENE UN RFC VALIDO 
CUENTA : 3233	 NO TIENE UN RFC VALIDO 
CUENTA : 3234	 NO TIENE UN RFC VALIDO 
CUENTA : 3235	 NO TIENE UN RFC VALIDO 
CUENTA : 3236	 NO TIENE UN RFC VALIDO 
CUENTA : 3237	 NO TIENE UN RFC VALIDO 
CUENTA : 3239	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 3240	 EL ESTADO ES REQUERIDO 
CUENTA : 3249	 EL ESTADO ES REQUERIDO 
CUENTA : 3259	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 3276	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3280	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3288	 TIENE EL RFC :JC&030206M62 NO VALIDO!
CUENTA : 3292	 EL ESTADO ES REQUERIDO 
CUENTA : 3333	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 3338	 EL ESTADO ES REQUERIDO 
CUENTA : 3344	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 3385	 EL ESTADO ES REQUERIDO 
CUENTA : 3398	 EL ESTADO ES REQUERIDO 
CUENTA : 3403	 EL ESTADO ES REQUERIDO 
CUENTA : 3405	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3409	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 3415	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3419	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3428	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3434	 EL ESTADO ES REQUERIDO 
CUENTA : 3440	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3460	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3474	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 3512	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3539	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3571	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3627	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3631	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3667	 EL ESTADO ES REQUERIDO 
CUENTA : 3673	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3681	 EL ESTADO ES REQUERIDO 
CUENTA : 3690	 EL ESTADO ES REQUERIDO 
CUENTA : 3710	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3712	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3737	 EL ESTADO ES REQUERIDO 
CUENTA : 3781	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3804	 EL ESTADO ES REQUERIDO 
CUENTA : 3818	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3819	 EL ESTADO ES REQUERIDO 
CUENTA : 3831	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3853	 EL ESTADO ES REQUERIDO 
CUENTA : 3876	 EL ESTADO ES REQUERIDO 
CUENTA : 3894	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 3922	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 3987	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4016	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4022	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4044	 TIENE EL RFC :ZZE069061094 NO VALIDO!
CUENTA : 4075	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4122	 EL ESTADO ES REQUERIDO 
CUENTA : 4126	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4139	 EL ESTADO ES REQUERIDO 
CUENTA : 4163	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4227	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 4250	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4319	 NO TIENE UN RFC VALIDO 
CUENTA : 4328	 NO TIENE UN RFC VALIDO 
CUENTA : 4351	 NO TIENE UN RFC VALIDO 
CUENTA : 4353	 TIENE EL RFC :CEVJ371118VC3 NO VALIDO!
CUENTA : 4420	 TIENE EL RFC :MALR69030373 NO VALIDO!
CUENTA : 4437	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4440	 EL ESTADO ES REQUERIDO 
CUENTA : 4446	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4460	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4503	 EL ESTADO ES REQUERIDO 
CUENTA : 4538	 EL ESTADO ES REQUERIDO 
CUENTA : 4561	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4575	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4578	 TIENE EL RFC :BEMF31011184 NO VALIDO!
CUENTA : 4613	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 4632	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 4653	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 4654	 EL ESTADO ES REQUERIDO 
CUENTA : 4659	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4681	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4693	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 4704	 TIENE EL RFC :YAGC590920BU8 NO VALIDO!
CUENTA : 4714	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 4720	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4725	 NO TIENE UN RFC VALIDO 
CUENTA : 4734	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4807	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4808	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4829	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4837	 EL ESTADO ES REQUERIDO 
CUENTA : 4849	 EL ESTADO ES REQUERIDO 
CUENTA : 4854	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 4872	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4874	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4876	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 4884	 EL ESTADO ES REQUERIDO 
CUENTA : 4885	 EL ESTADO ES REQUERIDO 
CUENTA : 4891	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 4934	 EL ESTADO ES REQUERIDO 
CUENTA : 4941	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 4950	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 4958	 NO TIENE UN RFC VALIDO 
CUENTA : 5017	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5022	 TIENE EL RFC :H&J030806A19 NO VALIDO!
CUENTA : 5033	 EL ESTADO ES REQUERIDO 
CUENTA : 5052	 EL ESTADO ES REQUERIDO 
CUENTA : 5053	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 5054	 TIENE EL RFC :APM 9606198G6 NO VALIDO!
CUENTA : 5062	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5073	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 5104	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5121	 EL ESTADO ES REQUERIDO 
CUENTA : 5122	 EL ESTADO ES REQUERIDO 
CUENTA : 5139	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5253	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5259	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 5261	 TIENE EL RFC :NUSC400602N13 NO VALIDO!
CUENTA : 5286	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 5328	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5353	 EL ESTADO ES REQUERIDO 
CUENTA : 5369	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5376	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 5396	 EL ESTADO ES REQUERIDO 
CUENTA : 5415	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5422	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5430	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5440	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5441	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5479	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5491	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5513	 EL ESTADO ES REQUERIDO 
CUENTA : 5518	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5524	 EL ESTADO ES REQUERIDO 
CUENTA : 5525	 EL ESTADO ES REQUERIDO 
CUENTA : 5526	 EL ESTADO ES REQUERIDO 
CUENTA : 5530	 TIENE EL RFC :TTNO5O624GN9 NO VALIDO!
CUENTA : 5539	 EL ESTADO ES REQUERIDO 
CUENTA : 5542	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 5547	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 5549	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 5558	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 5561	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 5594	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5605	 TIENE EL RFC :CESL51100669 NO VALIDO!
CUENTA : 5623	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5639	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5642	 EL ESTADO ES REQUERIDO 
CUENTA : 5644	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5669	 EL ESTADO ES REQUERIDO 
CUENTA : 5672	 TIENE EL RFC :CAGR660526TV6 NO VALIDO!
CUENTA : 5680	 LA COLONIA ES REQUERIDA 
CUENTA : 5717	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5737	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5745	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5765	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 5823	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5827	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5865	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5870	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 5962	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6024	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6037	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6042	 TIENE EL RFC :ICCO61011NH6 NO VALIDO!
CUENTA : 6045	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6048	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6051	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6052	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6083	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6110	 EL ESTADO ES REQUERIDO 
CUENTA : 6149	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6151	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6170	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6177	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6186	 EL CODIGO POSTAL ES INCORRECTO 
CUENTA : 6200	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6209	 EL ESTADO ES REQUERIDO 
CUENTA : 6210	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6244	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6250	 EL ESTADO ES REQUERIDO 
CUENTA : 6317	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6320	 EL ESTADO ES REQUERIDO 
CUENTA : 6380	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6396	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6402	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6432	 EL ESTADO ES REQUERIDO 
CUENTA : 6445	 EL ESTADO ES REQUERIDO 
CUENTA : 6491	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6499	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6504	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6508	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6530	 LA RAZON SOCIAL ES REQUERIDA
CUENTA : 6532	 EL ESTADO ES REQUERIDO 
CUENTA : 6542	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6555	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
CUENTA : 6584	 NO SE ENCONTRARON FACTURAS VIEGENTES O VENCIDAS 
